Depto;Anio 2002;Anio 2003;Anio 2004;Anio 2005;Anio 2008;Anio 2009;Anio 2010;Anio 2011;Anio 2012;Anio 2013;Anio 2014;Anio 2015;Anio 2016;Anio 2017;Anio 2018;Anio 2019;Anio 2020;Anio 2021
Antioquia;0.585;0.589;0.574;0.555;0.58;0.56;0.561;0.537;0.529;0.532;0.555;0.521;0.508;0.496;0.501;0.511;0.53;0.505
Atlántico;0.53;0.526;0.524;0.507;0.498;0.495;0.496;0.467;0.464;0.453;0.445;0.44;0.432;0.442;0.443;0.454;0.481;0.457
Bogotá D.C.;0.572;0.547;0.558;0.557;0.533;0.527;0.526;0.522;0.497;0.504;0.502;0.498;0.499;0.498;0.504;0.513;0.559;0.528
Bolívar;0.533;0.476;0.478;0.482;0.543;0.533;0.514;0.5;0.507;0.501;0.512;0.489;0.48;0.461;0.472;0.479;0.495;0.476
Boyacá;0.597;0.6;0.555;0.561;0.579;0.538;0.538;0.538;0.532;0.533;0.528;0.536;0.53;0.514;0.483;0.5;0.517;0.494
Caldas;0.507;0.522;0.521;0.505;0.547;0.541;0.535;0.528;0.522;0.524;0.522;0.512;0.51;0.496;0.49;0.469;0.473;0.465
Caquetá;0.528;0.508;0.491;0.526;0.487;0.485;0.45;0.459;0.479;0.467;0.472;0.483;0.47;0.457;0.479;0.484;0.468;0.448
Cauca;0.522;0.474;0.525;0.502;0.596;0.589;0.565;0.554;0.565;0.548;0.535;0.524;0.506;0.504;0.52;0.537;0.515;0.509
Cesar;0.464;0.439;0.48;0.453;0.545;0.553;0.518;0.506;0.518;0.489;0.473;0.479;0.472;0.487;0.488;0.506;0.524;0.488
Chocó;0.572;0.562;0.562;0.582;0.619;0.571;0.571;0.567;0.616;0.603;0.598;0.598;0.574;0.566;0.579;0.599;0.56;0.542
Córdoba;0.552;0.554;0.529;0.54;0.524;0.558;0.55;0.556;0.542;0.527;0.499;0.465;0.46;0.468;0.477;0.485;0.471;0.484
Cundinamarca;0.484;0.458;0.478;0.493;0.464;0.458;0.46;0.458;0.463;0.466;0.46;0.438;0.439;0.428;0.422;0.435;0.486;0.461
Huila;0.544;0.525;0.509;0.512;0.579;0.583;0.571;0.555;0.559;0.546;0.547;0.536;0.532;0.487;0.51;0.514;0.539;0.473
La Guajira;0.484;0.503;0.485;0.474;0.592;0.569;0.613;0.567;0.556;0.562;0.549;0.551;0.543;0.553;0.552;0.58;0.565;0.554
Magdalena;0.498;0.45;0.455;0.465;0.559;0.527;0.544;0.533;0.51;0.496;0.488;0.477;0.486;0.485;0.487;0.495;0.505;0.489
Meta;0.502;0.497;0.471;0.489;0.499;0.493;0.502;0.492;0.505;0.47;0.472;0.47;0.464;0.473;0.494;0.488;0.494;0.457
Nariño;0.57;0.531;0.508;0.514;0.523;0.513;0.496;0.501;0.502;0.52;0.496;0.497;0.519;0.508;0.512;0.521;0.508;0.495
Norte de Santander;0.489;0.511;0.521;0.488;0.502;0.522;0.493;0.498;0.485;0.48;0.487;0.473;0.467;0.465;0.468;0.492;0.521;0.474
Quindío;0.496;0.504;0.536;0.517;0.564;0.545;0.541;0.532;0.525;0.5;0.497;0.494;0.468;0.453;0.447;0.465;0.485;0.447
Risaralda;0.514;0.499;0.501;0.501;0.51;0.484;0.484;0.478;0.487;0.501;0.498;0.461;0.435;0.427;0.439;0.442;0.46;0.42
Santander;0.532;0.529;0.497;0.526;0.491;0.506;0.507;0.501;0.487;0.492;0.497;0.471;0.451;0.453;0.486;0.477;0.51;0.516
Sucre;0.5;0.49;0.485;0.476;0.536;0.519;0.536;0.51;0.483;0.469;0.475;0.47;0.466;0.457;0.461;0.476;0.461;0.468
Tolima;0.519;0.523;0.523;0.493;0.515;0.541;0.549;0.531;0.523;0.511;0.511;0.505;0.487;0.485;0.482;0.484;0.493;0.5
Valle del Cauca;0.522;0.519;0.517;0.535;0.522;0.516;0.52;0.505;0.518;0.504;0.488;0.479;0.483;0.472;0.468;0.473;0.514;0.483
