Depto,Anio 2012,Anio 2013,Anio 2014,Anio 2015,Anio 2016,Anio 2017,Anio 2018,Anio 2019,Anio 2020,Anio 2021
Antioquia,"35,3","31,8","31,7","31,1","29,8","29,0","28,3","29,8","34,0","29,3"
Atlántico,"38,0","36,0","32,6","30,0","29,2","28,7","27,8","27,3","40,2","35,6"
Bogotá D.C.,"27,0","24,3","23,3","25,1","25,9","28,4","26,4","27,2","40,1","35,8"
Bolívar,"50,8","48,5","46,7","46,8","48,0","44,3","43,4","46,0","52,7","48,5"
Boyacá,"42,7","45,7","44,3","42,9","40,5","36,5","34,2","35,7","39,8","38,4"
Caldas,"43,0","39,4","37,1","36,3","36,2","33,3","29,6","28,7","30,7","28,4"
Caquetá,"51,4","50,6","47,3","51,2","46,0","45,3","48,5","48,8","43,9","44,8"
Cauca,"68,5","65,0","63,0","61,0","59,7","57,2","58,8","59,6","55,6","58,3"
Cesar,"51,7","50,4","47,2","48,6","48,5","46,8","48,9","51,7","58,3","56,0"
Chocó,"73,9","69,0","72,3","70,7","67,2","66,1","68,6","68,4","64,6","63,4"
Córdoba,"66,4","57,8","54,2","55,4","53,8","53,2","52,6","54,2","59,4","58,6"
Cundinamarca,"26,8","21,7","19,9","19,6","20,1","17,9","18,2","20,4","27,0","22,8"
Huila,"53,6","54,3","52,8","53,3","53,3","44,1","45,8","51,2","55,6","43,7"
La Guajira,"61,9","59,5","57,0","57,2","56,1","55,6","57,2","61,8","66,3","67,4"
Magdalena,"58,3","56,1","54,6","51,7","55,9","54,7","51,7","53,5","59,8","61,1"
Meta,"37,3","35,0","31,4","30,2","32,5","32,7","32,6","32,7","40,0","33,8"
Nariño,"60,1","57,1","53,5","50,2","54,1","48,9","50,4","51,0","49,9","47,6"
Norte de Santander,"44,2","43,6","44,6","45,9","46,2","45,1","47,4","51,9","56,3","52,5"
Quindío,"47,1","43,7","40,2","40,5","38,9","35,3","32,1","33,0","38,3","35,7"
Risaralda,"38,4","39,4","34,9","33,7","30,8","27,9","28,7","28,7","35,8","29,8"
Santander,"30,6","28,5","27,8","26,9","29,4","29,7","30,9","31,1","38,8","36,0"
Sucre,"57,1","52,6","49,4","50,5","52,1","47,5","46,2","50,3","51,4","54,6"
Tolima,"48,8","42,1","40,2","40,5","39,7","37,6","39,1","39,3","45,7","43,2"
Valle del Cauca,"31,8","32,1","27,5","26,6","27,5","26,0","24,7","24,0","34,5","29,7"
